,season,Home,G.1,Visitor,G,playoffs
39540,2007,Columbus Blue Jackets,3.0,St. Louis Blues,4.0,0
39541,2007,Calgary Flames,4.0,Chicago Blackhawks,1.0,0
39542,2007,Colorado Avalanche,3.0,Anaheim Ducks,2.0,0
39543,2007,Dallas Stars,1.0,Nashville Predators,0.0,0
39544,2007,Detroit Red Wings,3.0,Vancouver Canucks,4.0,0
39545,2007,Florida Panthers,4.0,Tampa Bay Lightning,6.0,0
39546,2007,Montreal Canadiens,4.0,Minnesota Wild,2.0,0
39547,2007,New York Islanders,4.0,Carolina Hurricanes,2.0,0
39548,2007,Philadelphia Flyers,2.0,Ottawa Senators,3.0,0
39549,2007,Phoenix Coyotes,3.0,New Jersey Devils,1.0,0
39550,2007,Pittsburgh Penguins,3.0,Boston Bruins,4.0,0
39551,2007,San Jose Sharks,6.0,Los Angeles Kings,3.0,0
39552,2007,Washington Capitals,2.0,Atlanta Thrashers,4.0,0
39553,2007,Nashville Predators,6.0,Vancouver Canucks,0.0,0
39554,2007,Anaheim Ducks,4.0,New Jersey Devils,2.0,0
39555,2007,Boston Bruins,1.0,Carolina Hurricanes,5.0,0
39556,2007,Buffalo Sabres,1.0,Montreal Canadiens,2.0,0
39557,2007,Dallas Stars,5.0,Los Angeles Kings,3.0,0
39558,2007,Detroit Red Wings,2.0,St. Louis Blues,3.0,0
39559,2007,Edmonton Oilers,5.0,Chicago Blackhawks,1.0,0
39560,2007,Florida Panthers,4.0,Ottawa Senators,6.0,0
39561,2007,Minnesota Wild,4.0,Phoenix Coyotes,0.0,0
39562,2007,New York Islanders,3.0,Pittsburgh Penguins,1.0,0
39563,2007,Philadelphia Flyers,3.0,Columbus Blue Jackets,2.0,0
39564,2007,Tampa Bay Lightning,3.0,Atlanta Thrashers,2.0,0
39565,2007,Washington Capitals,1.0,Toronto Maple Leafs,7.0,0
39566,2007,Atlanta Thrashers,1.0,Florida Panthers,0.0,0
39567,2007,Columbus Blue Jackets,5.0,Minnesota Wild,3.0,0
39568,2007,Colorado Avalanche,4.0,Vancouver Canucks,1.0,0
39569,2007,Los Angeles Kings,3.0,Calgary Flames,1.0,0
39570,2007,Montreal Canadiens,2.0,Philadelphia Flyers,4.0,0
39571,2007,Nashville Predators,6.0,Detroit Red Wings,2.0,0
39572,2007,New York Islanders,4.0,Washington Capitals,1.0,0
39573,2007,Pittsburgh Penguins,1.0,New York Rangers,2.0,0
39574,2007,San Jose Sharks,2.0,New Jersey Devils,0.0,0
39575,2007,St. Louis Blues,1.0,Phoenix Coyotes,2.0,0
39576,2007,Toronto Maple Leafs,1.0,Boston Bruins,3.0,0
39577,2007,Anaheim Ducks,5.0,Calgary Flames,3.0,0
39578,2007,New York Rangers,2.0,Buffalo Sabres,3.0,0
39579,2007,Tampa Bay Lightning,3.0,Ottawa Senators,1.0,0
39580,2007,Detroit Red Wings,2.0,Dallas Stars,1.0,0
39581,2007,Los Angeles Kings,3.0,New Jersey Devils,2.0,0
39582,2007,Carolina Hurricanes,1.0,Ottawa Senators,4.0,0
39583,2007,Calgary Flames,5.0,Colorado Avalanche,2.0,0
39584,2007,Edmonton Oilers,2.0,Anaheim Ducks,3.0,0
39585,2007,Montreal Canadiens,1.0,Florida Panthers,0.0,0
39586,2007,New York Rangers,4.0,Atlanta Thrashers,5.0,0
39587,2007,Pittsburgh Penguins,3.0,New York Islanders,2.0,0
39588,2007,St. Louis Blues,0.0,San Jose Sharks,2.0,0
39589,2007,Tampa Bay Lightning,2.0,Washington Capitals,5.0,0
39590,2007,Toronto Maple Leafs,1.0,Boston Bruins,4.0,0
39591,2007,Vancouver Canucks,1.0,Columbus Blue Jackets,0.0,0
39592,2007,Chicago Blackhawks,2.0,Dallas Stars,1.0,0
39593,2007,Minnesota Wild,1.0,San Jose Sharks,2.0,0
39594,2007,Philadelphia Flyers,2.0,Nashville Predators,3.0,0
39595,2007,Atlanta Thrashers,5.0,Toronto Maple Leafs,0.0,0
39596,2007,Boston Bruins,4.0,Tampa Bay Lightning,3.0,0
39597,2007,Carolina Hurricanes,4.0,Montreal Canadiens,2.0,0
39598,2007,Edmonton Oilers,3.0,Colorado Avalanche,7.0,0
39599,2007,New York Islanders,2.0,Philadelphia Flyers,3.0,0
39600,2007,Ottawa Senators,6.0,Florida Panthers,0.0,0
39601,2007,Phoenix Coyotes,7.0,Los Angeles Kings,4.0,0
39602,2007,St. Louis Blues,4.0,Nashville Predators,5.0,0
39603,2007,Vancouver Canucks,1.0,Anaheim Ducks,2.0,0
39604,2007,Washington Capitals,4.0,Dallas Stars,3.0,0
39605,2007,Buffalo Sabres,4.0,New York Rangers,3.0,0
39606,2007,Calgary Flames,2.0,Columbus Blue Jackets,1.0,0
39607,2007,Chicago Blackhawks,5.0,St. Louis Blues,2.0,0
39608,2007,Minnesota Wild,0.0,Detroit Red Wings,3.0,0
39609,2007,New Jersey Devils,5.0,Pittsburgh Penguins,2.0,0
39610,2007,Carolina Hurricanes,5.0,Boston Bruins,2.0,0
39611,2007,Dallas Stars,4.0,Minnesota Wild,3.0,0
39612,2007,Detroit Red Wings,2.0,San Jose Sharks,3.0,0
39613,2007,Edmonton Oilers,0.0,Columbus Blue Jackets,4.0,0
39614,2007,Florida Panthers,1.0,Atlanta Thrashers,3.0,0
39615,2007,Los Angeles Kings,3.0,Anaheim Ducks,4.0,0
39616,2007,Montreal Canadiens,4.0,Toronto Maple Leafs,3.0,0
39617,2007,Nashville Predators,3.0,Chicago Blackhawks,4.0,0
39618,2007,Ottawa Senators,5.0,Tampa Bay Lightning,2.0,0
39619,2007,Philadelphia Flyers,3.0,New Jersey Devils,4.0,0
39620,2007,Pittsburgh Penguins,3.0,New York Islanders,5.0,0
39621,2007,Vancouver Canucks,2.0,Colorado Avalanche,1.0,0
39622,2007,Washington Capitals,7.0,Buffalo Sabres,4.0,0
39623,2007,Anaheim Ducks,2.0,Los Angeles Kings,3.0,0
39624,2007,New York Rangers,4.0,New York Islanders,7.0,0
39625,2007,Dallas Stars,1.0,San Jose Sharks,0.0,0
39626,2007,Montreal Canadiens,5.0,Boston Bruins,6.0,0
